block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_275050,55-52,0,55 Providence,550006,SE2014-hsep1406-Saturday-01_merged_980017,1982653-SE2014-hsep1406-Saturday-01_merged_982196
b_275080,57-52,1,57 SMITH ST,570009,SE2014-hsep1406-Saturday-01_merged_980027,1983501-SE2014-hsep1406-Saturday-01_merged_990993
a_275076,22-52,0,22 Providence,220017,SE2014-hsep1406-Saturday-01_merged_980017,1983387-SE2014-hsep1406-Saturday-01_merged_982764
b_275061,56-52,0,56 Providence,560005,SE2014-hsep1406-Saturday-01_merged_980027,1982921-SE2014-hsep1406-Saturday-01_merged_990316
b_276941,78-52,1,78 Pawtucket,780015,SE2014-hsep1401-Weekday-02_merged_980032,1991368-SE2014-hsep1401-Weekday-02_merged_988139
a_276957,32-52,1,32 EAST PROV.,320006,SE2014-hsep1401-Weekday-02_merged_980022,1989997-SE2014-hsep1401-Weekday-02_merged_984735
b_275128,56-52,0,56 Providence,560005,SE2014-hsep1407-Sunday-01_merged_980030,1984401-SE2014-hsep1407-Sunday-01_merged_990176
a_275082,51-52,1,51 Charles,510011,SE2014-hsep1406-Saturday-01_merged_980017,1983462-SE2014-hsep1406-Saturday-01_merged_981755
b_276823,87-52,1,87 Downtown,870001,SE2014-hsep1401-Weekday-02_merged_980032,1989494-SE2014-hsep1401-Weekday-02_merged_988470
a_276882,20-52,0,20 Providence,200003,SE2014-hsep1401-Weekday-02_merged_980022,1990937-SE2014-hsep1401-Weekday-02_merged_985388
b_276684,11-52,1,R-LINE SOUTH,110004,SE2014-hsep1406-Saturday-01_merged_980027,1983817-SE2014-hsep1406-Saturday-01_merged_988316
a_276858,13-52,1,13 ARCTIC,130006,SE2014-hsep1401-Weekday-02_merged_980022,1990094-SE2014-hsep1401-Weekday-02_merged_982082
a_275680,52-52,1,52 Bryant Univ,520026,SE2014-hsep1406-Saturday-01_merged_980017,1986723-SE2014-hsep1406-Saturday-01_merged_981189
a_276888,20-52,0,20 Providence,200003,SE2014-hsep1401-Weekday-02_merged_980022,1990887-SE2014-hsep1401-Weekday-02_merged_983872
a_276964,50-52,0,50 Providence,500012,SE2014-hsep1401-Weekday-02_merged_980022,1991950-SE2014-hsep1401-Weekday-02_merged_981913
a_276928,73-52,1,73 Fairlawn,730002,SE2014-hsep1401-Weekday-02_merged_980022,1989436-SE2014-hsep1401-Weekday-02_merged_980269
b_275069,31-52,0,31 Providence,310001,SE2014-hsep1406-Saturday-01_merged_980027,1983205-SE2014-hsep1406-Saturday-01_merged_988240
a_276954,11-52,0,R-LINE NORTH,110003,SE2014-hsep1401-Weekday-02_merged_980022,1991533-SE2014-hsep1401-Weekday-02_merged_982324
b_275680,52-52,1,52 Bryant Univ,520026,SE2014-hsep1406-Saturday-01_merged_980027,1986715-SE2014-hsep1406-Saturday-01_merged_986469
a_275060,13-52,0,13 WARW. MALL,130005,SE2014-hsep1406-Saturday-01_merged_980017,1982794-SE2014-hsep1406-Saturday-01_merged_983278
b_277023,1-52,0,1 Hope St,10006,SE2014-hsep1401-Weekday-02_merged_980032,1992558-SE2014-hsep1401-Weekday-02_merged_988358
b_276869,80-52,1,80 Armistice,800002,SE2014-hsep1401-Weekday-02_merged_980032,1990369-SE2014-hsep1401-Weekday-02_merged_990114
b_276940,98-52,0,98 PAWTUCKET,980001,SE2014-hsep1401-Weekday-02_merged_980032,1991342-SE2014-hsep1401-Weekday-02_merged_987756
b_275148,17-52,1,17 Dyer,170012,SE2014-hsep1407-Sunday-01_merged_980030,1984808-SE2014-hsep1407-Sunday-01_merged_985711
b_276941,78-52,0,78 Providence,780001,SE2014-hsep1401-Weekday-02_merged_980032,1991372-SE2014-hsep1401-Weekday-02_merged_987531
